,Total Long Distance Charges,Total Revenue,Contract_Two Year,Payment Method_Credit Card,Internet Service,Contract_Month-to-Month,Internet Type_None,Total Charges,Internet Type_Fiber Optic,Contract_One Year,Tenure in Months,Monthly Charge,Number of Dependents,Offer_Offer E,Number of Referrals,Churn Label,Latitude,Longitude
70,580.23,6505.73,0,1,1,0,0,5825.5,1,1,63,90.45,0,0,0,0,34.038983,-117.991372
71,424.84,1799.1399999999999,0,0,1,1,0,1364.3,0,0,13,106.9,0,0,0,1,33.976753,-117.897367
72,43.03,93.78,0,0,1,1,0,50.75,0,0,1,50.75,0,1,0,1,33.976753,-117.897367
73,1891.8,4211.6,0,1,1,0,0,2319.8,0,1,45,54.15,0,0,1,1,33.976753,-117.897367
74,1799.2,8033.05,0,0,1,0,0,6153.85,1,1,65,95.5,0,0,0,0,33.976753,-117.897367
75,170.10000000000002,440.25,0,1,0,1,1,270.15,0,0,10,24.5,0,0,0,0,33.976753,-117.897367
76,150.88,1662.08,0,0,1,1,0,1511.2,1,0,16,94.45,0,0,0,1,34.074087,-117.605618
77,287.52,860.8199999999999,0,0,1,1,0,573.3,1,0,6,89.5,0,1,0,1,34.074087,-117.605618
78,646.75,2061.4,0,0,1,1,0,1404.65,0,0,25,60.35,3,0,1,0,34.074087,-117.605618
79,29.86,50.21,0,1,0,1,1,20.35,0,0,1,20.35,0,1,0,0,34.074087,-117.605618
80,406.79999999999995,712.8499999999999,0,0,0,1,1,306.05,0,0,12,21.15,2,0,8,0,34.074087,-117.605618
81,14.24,620.79,0,0,1,1,0,606.55,1,0,8,74.5,0,0,0,1,32.827184,-116.703729
82,36.99,82.64,0,0,1,1,0,45.65,0,0,1,45.65,0,0,0,1,32.827184,-116.703729
83,34.48,78.43,0,1,1,1,0,43.95,0,0,1,43.95,0,1,0,1,32.827184,-116.703729
84,1137.15,5783.450000000001,0,0,1,0,0,4576.3,0,1,63,71.5,0,0,0,0,32.827184,-116.703729
85,621.9,4814.049999999999,0,1,1,1,0,4192.15,1,0,45,89.3,0,0,0,0,32.827184,-116.703729
86,740.88,2453.58,0,0,1,1,0,1712.7,1,0,24,76.1,0,0,0,1,32.85723,-117.209774
87,126.44,522.54,0,0,1,1,0,396.1,1,0,4,95.45,0,1,0,1,32.85723,-117.209774
88,1514.88,3818.23,0,0,1,1,0,2303.35,1,0,32,74.9,0,0,2,1,32.85723,-117.209774
89,386.40000000000003,2617.4500000000003,0,0,1,1,0,2231.05,0,0,24,93.15,0,0,1,1,32.85723,-117.209774
90,652.32,5002.42,0,0,1,0,0,4350.1,0,1,54,82.45,0,0,0,1,32.85723,-117.209774
91,26.34,165.39000000000001,0,0,1,1,0,139.05,1,0,2,70.35,0,1,0,1,32.85723,-117.209774
92,0.0,840.1,0,0,1,1,0,840.1,0,0,21,41.9,0,0,0,1,32.85723,-117.209774
93,0.0,945.1,0,1,1,1,0,805.1,0,0,27,30.75,0,0,0,1,32.85723,-117.209774
94,324.94,539.69,0,0,0,1,1,214.75,0,0,11,19.95,0,0,1,1,32.85723,-117.209774
95,2355.1,7319.799999999999,0,0,1,1,0,4874.7,1,0,55,85.45,0,0,2,1,32.85723,-117.209774
96,27.660000000000004,261.36,0,0,1,1,0,233.7,1,0,3,81.35,0,1,0,1,32.85723,-117.209774
97,236.4,577.41,0,0,1,1,0,371.65,1,0,5,81.0,0,1,1,1,32.85723,-117.209774
98,495.79999999999995,931.1999999999999,0,1,1,1,0,435.4,0,0,10,44.85,0,0,0,1,32.85723,-117.209774
99,6.19,79.78999999999999,0,1,1,1,0,73.6,1,0,1,73.6,0,0,0,1,32.85723,-117.209774
100,28.900000000000002,448.01,0,0,1,1,0,415.55,1,0,5,80.6,0,1,0,1,32.85723,-117.209774
101,1601.32,4659.97,0,1,1,0,0,3058.65,0,1,38,80.3,0,0,1,1,32.85723,-117.209774
102,200.34,698.5600000000001,0,0,1,1,0,511.25,1,0,7,73.85,0,0,0,1,32.85723,-117.209774
103,10.64,166.44,0,1,1,1,0,155.8,1,0,2,80.6,0,0,0,1,32.85723,-117.209774
104,1984.24,7368.19,0,0,1,0,0,5293.95,0,1,68,75.8,0,0,1,1,32.85723,-117.209774
105,553.84,5313.6900000000005,1,0,1,0,0,4759.85,1,0,43,104.6,0,0,0,1,32.85723,-117.209774
106,3083.8500000000004,9686.85,0,0,1,1,0,6603.0,1,0,63,103.4,0,0,2,1,32.85723,-117.209774
107,21.06,189.26,0,0,1,1,0,168.2,1,0,2,90.4,0,1,0,1,32.85723,-117.209774
108,115.08,486.97999999999996,0,0,1,1,0,371.9,1,0,4,84.8,0,1,5,1,32.85723,-117.209774
109,271.0,1117.0,0,0,1,1,0,846.0,1,0,10,80.25,0,0,0,1,32.85723,-117.209774
110,104.3,596.85,0,0,1,1,0,492.55,1,0,5,96.5,0,1,0,1,32.85723,-117.209774
111,80.86,262.36,0,0,1,1,0,181.5,0,0,2,85.65,0,1,0,1,32.85723,-117.209774
112,222.75,2789.25,0,0,1,1,0,2566.5,1,0,25,104.95,0,0,1,1,32.85723,-117.209774
113,14.78,65.42999999999999,0,1,1,1,0,50.65,0,0,1,50.65,0,1,0,1,32.85723,-117.209774
114,8.56,99.41,0,1,1,1,0,90.85,1,0,1,90.85,0,1,0,1,32.85723,-117.209774
115,52.7,2577.1499999999996,0,1,1,1,0,2524.45,1,0,34,73.95,0,0,0,1,32.85723,-117.209774
116,3367.2,10374.8,0,1,1,1,0,7007.6,1,0,69,99.45,0,0,2,1,32.85723,-117.209774
117,36.63,56.53,0,1,0,1,1,19.9,0,0,1,19.9,0,1,0,1,32.85723,-117.209774
118,14.17,33.77,0,1,0,1,1,19.6,0,0,1,19.6,0,1,0,1,32.85723,-117.209774
119,8.56,29.060000000000002,0,1,0,1,1,20.5,0,0,1,20.5,0,0,0,0,32.85723,-117.209774
120,385.5,934.96,1,1,0,0,1,599.25,0,0,30,19.7,1,0,1,0,32.85723,-117.209774
121,0.0,24.2,0,0,1,1,0,24.2,0,0,1,24.2,2,1,0,0,32.85723,-117.209774
122,35.09,130.39,0,0,1,1,0,75.3,1,0,1,75.3,0,1,0,1,33.53604,-116.119222
123,763.8000000000001,7066.6,1,1,1,0,0,6302.8,1,0,67,94.1,3,0,1,0,33.53604,-116.119222
124,262.8,619.8,0,1,0,1,1,357.0,0,0,18,20.45,2,0,8,0,33.53604,-116.119222
125,532.87,1415.4,0,0,1,1,0,931.55,0,0,13,73.35,0,0,0,0,33.53604,-116.119222
126,0.0,131.05,0,0,1,1,0,131.05,0,0,5,28.45,0,1,0,1,34.004379,-117.447864
127,12.46,82.00999999999999,0,0,1,1,0,69.55,1,0,1,69.55,0,0,1,1,34.004379,-117.447864
128,1030.05,2767.5,0,0,1,1,0,1737.45,1,0,21,84.1,0,0,0,0,34.004379,-117.447864
129,25.99,45.989999999999995,0,1,0,1,1,20.0,0,0,1,20.0,0,1,0,0,34.004379,-117.447864
130,974.5999999999999,2837.0,0,0,1,1,0,1782.4,1,0,20,94.1,0,0,0,1,33.644585,-116.871544
131,1499.3999999999999,7138.2,0,0,1,0,0,5498.8,1,1,51,106.8,0,0,3,0,33.644585,-116.871544
132,1086.0,2075.05,0,1,0,0,1,989.05,0,1,50,20.15,0,0,0,0,33.644585,-116.871544
133,1437.16,5283.91,1,1,1,0,0,3846.75,0,0,62,65.1,0,0,0,0,33.644585,-116.871544
134,228.79999999999998,563.6,0,0,1,1,0,334.8,1,0,5,74.35,0,1,4,1,33.970661,-117.255039
135,1645.0,5467.45,1,0,1,0,0,3822.45,0,0,50,75.15,2,0,3,0,33.970661,-117.255039
136,202.44,788.49,0,0,1,1,0,586.05,1,0,7,79.7,0,0,0,1,33.970661,-117.255039
137,3476.9,10471.7,1,1,1,0,0,6994.8,1,0,70,101.1,2,0,10,0,33.970661,-117.255039
138,189.54,2118.89,0,0,1,1,0,1929.35,0,0,27,75.2,0,0,2,1,33.828289,-117.201666
139,155.61,1413.96,0,0,1,0,0,1258.35,0,1,21,60.25,0,0,0,0,33.828289,-117.201666
140,247.74,766.49,0,1,1,1,0,518.75,1,0,6,94.05,2,0,7,0,33.828289,-117.201666
141,7.34,91.94,0,0,1,1,0,84.6,1,0,1,84.6,0,1,0,0,33.828289,-117.201666
142,193.4,539.6,0,0,1,1,0,346.2,0,0,4,89.2,0,0,0,1,33.848733,-117.788357
143,565.1999999999999,8342.6,0,0,1,0,0,7677.4,1,1,72,106.85,0,0,8,0,33.848733,-117.788357
144,22.86,103.96,0,0,1,1,0,81.1,1,0,1,81.1,0,0,0,1,33.848733,-117.788357
145,317.16999999999996,1731.37,1,1,1,0,0,1414.2,0,0,23,59.7,0,0,6,0,33.848733,-117.788357
146,45.81,131.51,0,0,1,1,0,85.7,1,0,1,85.7,0,0,0,1,33.924143,-117.79387
147,2515.0299999999997,8943.43,1,0,1,0,0,6428.4,1,0,61,106.6,0,0,0,1,33.924143,-117.79387
148,0.0,1276.4,0,1,1,0,0,1246.4,0,1,27,45.85,0,0,3,0,33.924143,-117.79387
149,585.39,809.76,0,1,0,0,1,259.65,0,1,13,19.3,0,0,0,0,33.924143,-117.79387
150,1195.3500000000001,7981.75,0,0,1,1,0,6786.4,1,0,65,105.25,0,0,3,1,33.884073,-117.732197
151,0.0,669.85,0,0,1,1,0,669.85,0,0,18,39.05,0,0,1,1,33.884073,-117.732197
152,1392.5800000000002,4026.33,0,1,1,1,0,2583.75,0,0,49,52.15,0,0,6,0,33.884073,-117.732197
153,987.84,2845.88,1,1,0,0,1,1874.3,0,0,72,24.8,0,0,1,0,33.884073,-117.732197
154,1123.0800000000002,5670.33,0,1,1,1,0,4547.25,1,0,49,90.05,0,0,3,1,34.420998,-119.60137
155,759.2,1802.55,0,1,1,1,0,1043.35,0,0,16,65.2,0,0,0,1,34.420998,-119.60137
156,49.2,68.5,0,1,0,1,1,19.3,0,0,1,19.3,0,0,0,1,34.420998,-119.60137
157,224.01,404.71,0,1,0,1,1,180.7,0,0,9,19.7,0,1,0,0,34.420998,-119.60137
158,624.36,5312.259999999999,0,0,1,1,0,4687.9,1,0,43,110.75,0,0,1,1,34.419203,-119.710008
159,1904.76,8726.91,0,1,1,1,0,6822.15,1,0,66,99.5,0,0,1,1,34.419203,-119.710008
160,0.0,423.49,0,1,1,0,0,411.45,0,1,10,40.25,5,0,0,0,34.419203,-119.710008
161,544.86,1046.21,0,1,0,0,1,501.35,0,1,27,19.15,0,0,0,0,34.419203,-119.710008
162,2732.7999999999997,8527.449999999999,0,0,1,0,0,5794.65,1,1,56,104.55,0,0,0,1,35.869626,-119.498771
163,0.0,633.4,0,0,1,1,0,633.4,0,0,13,48.75,0,0,1,1,35.869626,-119.498771
164,4.02,46.92,0,0,1,1,0,42.9,0,0,1,42.9,0,1,0,1,35.869626,-119.498771
165,802.93,2652.88,0,0,1,1,0,1849.95,1,0,23,83.75,2,0,1,0,35.869626,-119.498771
166,106.19999999999999,2005.8500000000001,0,0,1,1,0,1899.65,1,0,20,94.55,0,0,7,1,36.057458,-118.591951
167,117.72000000000001,6010.87,0,0,1,0,0,5893.15,1,1,54,110.35,0,0,1,1,36.057458,-118.591951
168,315.18,1307.88,0,1,1,1,0,992.7,0,0,18,57.65,2,0,0,0,36.057458,-118.591951
169,0.0,1383.6,0,1,1,0,0,1383.6,0,1,35,40.9,1,0,6,0,36.057458,-118.591951
170,94.94,256.44,0,0,1,1,0,161.5,1,0,2,89.5,0,0,0,1,35.772244,-119.209689
171,305.28000000000003,5342.83,0,1,1,0,0,5037.55,1,1,48,103.25,0,0,1,1,35.772244,-119.209689
172,723.6,8530.2,1,1,1,0,0,7806.6,1,0,72,108.05,0,0,0,0,35.772244,-119.209689
173,609.96,1816.96,0,0,1,1,0,1207.0,1,0,17,70.8,0,0,0,0,35.772244,-119.209689
174,223.6,387.9,0,0,0,1,1,164.3,0,0,8,19.65,0,0,0,1,35.215731,-119.57013
175,287.36,1571.56,0,0,1,1,0,1284.2,1,0,16,73.85,0,0,1,1,35.215731,-119.57013
176,142.53,363.13,0,0,1,1,0,220.6,1,0,3,75.5,0,1,0,1,35.215731,-119.57013
177,104.28,304.13,0,0,1,1,0,199.85,1,0,3,69.85,0,1,0,0,35.215731,-119.57013
178,0.0,2580.9,0,0,1,1,0,2550.9,0,0,52,49.15,0,0,0,1,33.507255,-117.029473
179,661.95,2030.25,0,0,1,1,0,1258.3,1,0,15,83.05,0,0,2,1,33.507255,-117.029473
180,444.15,2417.9,0,0,1,1,0,1973.75,1,0,21,94.25,0,0,0,1,33.507255,-117.029473
181,840.7500000000001,3018.2,0,0,1,0,0,2177.45,1,1,25,89.05,0,0,3,1,33.507255,-117.029473
182,248.39,5151.54,0,1,1,0,0,4903.15,1,1,59,82.95,0,0,10,0,33.507255,-117.029473
183,32.86,107.91,0,0,1,1,0,75.05,1,0,1,75.05,0,1,0,1,33.507255,-117.029473
184,1379.3999999999999,4476.15,0,0,1,0,0,3036.75,1,1,33,95.8,0,0,1,1,33.507255,-117.029473
185,82.36,267.01,0,0,1,1,0,184.65,1,0,2,82.0,0,0,0,1,33.507255,-117.029473
186,160.6,673.0500000000001,0,0,1,1,0,512.45,1,0,5,96.25,0,1,0,1,33.507255,-117.029473
187,31.34,110.39,0,0,1,1,0,79.05,1,0,1,79.05,0,0,0,1,33.507255,-117.029473
188,0.0,86.6,0,0,1,1,0,86.6,0,0,4,24.45,0,1,0,1,33.507255,-117.029473
189,29.56,391.76,0,0,1,1,0,362.2,1,0,4,93.5,0,1,0,1,33.507255,-117.029473
190,81.19999999999999,3384.25,0,0,1,1,0,3303.05,1,0,40,84.85,0,0,1,1,33.507255,-117.029473
191,435.6,1979.65,0,0,1,0,0,1544.05,0,1,22,67.5,0,0,1,1,33.507255,-117.029473
192,14.19,83.78999999999999,0,0,1,1,0,69.6,1,0,1,69.6,0,0,0,1,33.507255,-117.029473
193,1067.55,5525.7,0,0,1,1,0,4458.15,1,0,55,77.75,0,0,5,1,33.507255,-117.029473
194,221.26,1465.76,0,0,1,1,0,1244.5,1,0,13,96.65,0,0,0,1,33.507255,-117.029473
195,1354.8600000000001,5349.3099999999995,0,0,1,1,0,3994.45,1,0,39,103.45,0,0,0,1,33.507255,-117.029473
196,44.56,120.46000000000001,0,0,1,1,0,75.9,1,0,1,75.9,0,0,0,1,33.507255,-117.029473
197,833.04,7421.99,0,0,1,0,0,6588.95,1,1,72,89.7,0,0,2,0,33.507255,-117.029473
198,2537.5,7967.85,0,1,1,0,0,5430.35,1,1,58,94.7,3,0,1,0,33.507255,-117.029473
199,9.3,199.8,0,0,1,1,0,190.5,1,0,2,90.35,0,0,10,0,33.507255,-117.029473
200,217.11999999999998,1062.72,0,0,0,0,1,845.6,0,1,46,20.2,0,0,6,0,33.507255,-117.029473
201,189.85,289.45,0,0,0,0,1,99.6,0,1,5,19.55,0,0,0,0,33.507255,-117.029473
202,853.1999999999999,8642.800000000001,0,1,1,0,0,7789.6,1,1,72,109.15,0,0,2,0,33.507255,-117.029473
203,0.0,646.05,0,1,1,1,0,646.05,0,0,17,35.65,0,0,5,0,33.507255,-117.029473
204,16.169999999999998,253.82,0,1,1,1,0,237.65,1,0,3,90.7,0,0,0,0,33.507255,-117.029473
205,1997.8,9749.85,1,0,1,0,0,7752.05,1,0,70,110.5,0,0,4,0,33.507255,-117.029473
206,316.24,1627.54,1,1,0,0,1,1311.3,0,0,67,19.8,0,0,0,0,33.507255,-117.029473
207,1195.64,2521.99,1,0,0,0,1,1326.35,0,0,71,19.85,2,0,2,0,33.507255,-117.029473
208,87.98,179.07999999999998,0,0,1,1,0,91.1,0,0,2,49.25,0,0,0,1,32.961064,-117.134917
209,916.74,4022.29,0,0,1,1,0,3105.55,1,0,33,94.5,0,0,1,1,32.961064,-117.134917
210,1376.4,4134.55,0,1,1,1,0,2758.15,1,0,30,91.7,0,0,0,1,32.961064,-117.134917
211,888.8,2851.6,0,0,1,1,0,1842.8,1,0,20,98.55,0,0,0,1,32.961064,-117.134917
212,246.56,4926.610000000001,0,0,1,1,0,4680.05,1,0,46,101.0,0,0,1,1,32.961064,-117.134917
213,79.56,350.26,0,1,1,1,0,270.7,1,0,3,75.1,0,1,0,1,32.961064,-117.134917
214,40.62,208.77,0,0,1,1,0,168.15,0,0,3,50.15,0,0,1,1,32.961064,-117.134917
215,670.25,2685.6,0,0,1,1,0,2015.35,1,0,25,79.85,0,0,0,1,32.961064,-117.134917
216,38.44,57.989999999999995,0,0,0,1,1,19.55,0,0,1,19.55,0,0,0,1,32.961064,-117.134917
217,16.56,397.86,0,0,1,1,0,381.3,1,0,4,85.95,0,0,1,1,32.961064,-117.134917
218,109.44,250.94,0,0,1,1,0,141.5,0,0,3,45.35,0,0,0,1,32.961064,-117.134917
219,201.60000000000002,4143.3,0,0,1,1,0,3941.7,0,0,45,87.25,0,0,0,1,32.961064,-117.134917
220,275.7,1284.25,0,0,1,1,0,1008.55,1,0,10,98.55,0,0,0,1,32.961064,-117.134917
221,2060.25,8116.4,0,1,1,0,0,6056.15,1,1,67,90.6,0,0,1,1,32.961064,-117.134917
222,19.52,160.97,0,0,1,1,0,141.45,0,0,2,70.7,0,1,1,1,32.961064,-117.134917
223,0.0,1525.35,0,0,1,0,0,1525.35,0,1,37,40.2,2,0,7,0,32.961064,-117.134917
224,109.02000000000001,4983.820000000001,0,0,1,0,0,4874.8,1,1,46,110.0,0,0,0,1,36.798882,-120.019511
225,148.32,854.9200000000001,0,0,1,1,0,706.6,1,0,9,74.75,0,1,0,1,36.798882,-120.019511
226,41.61,1973.36,0,0,1,1,0,1931.75,1,0,19,99.95,0,0,0,1,36.798882,-120.019511
227,110.88,549.78,0,0,1,1,0,438.9,0,0,7,61.4,0,0,0,0,36.798882,-120.019511
228,153.37,797.72,0,0,1,1,0,644.35,0,0,7,95.6,0,0,1,1,36.545322,-119.642281
229,31.13,100.78,0,0,1,1,0,69.65,1,0,1,69.65,0,0,0,1,36.545322,-119.642281
230,120.28,341.03,0,1,1,1,0,220.75,0,0,4,44.55,0,1,0,0,36.545322,-119.642281
231,0.0,374.0,0,0,1,1,0,374.0,0,0,10,36.25,0,0,0,0,36.545322,-119.642281
232,147.72,440.52,0,0,1,1,0,292.8,1,0,4,78.85,0,0,0,1,36.719141,-119.202677
233,22.97,108.42,0,0,1,1,0,85.45,1,0,1,85.45,0,1,0,1,36.719141,-119.202677
234,735.84,3245.09,0,0,1,0,0,2509.25,1,1,28,90.45,1,0,7,0,36.719141,-119.202677
235,0.0,2036.55,0,0,1,1,0,2036.55,0,0,40,50.85,3,0,0,0,36.719141,-119.202677
236,2055.9,7665.200000000001,0,0,1,0,0,5509.3,1,1,55,100.0,0,0,0,1,36.654614,-119.903674
237,0.0,706.85,0,0,1,1,0,706.85,0,0,13,54.45,0,0,1,1,36.654614,-119.903674
238,333.69,2548.69,0,1,1,1,0,2215.0,1,0,21,103.85,0,0,0,0,36.654614,-119.903674
239,0.0,2768.65,1,1,1,0,0,2768.65,0,0,47,60.0,2,0,1,0,36.654614,-119.903674
240,107.4,1570.9,0,0,1,1,0,1463.5,1,0,20,73.65,0,0,1,1,35.930782,-121.189757
241,909.0,3073.2200000000003,0,0,1,1,0,2187.55,1,0,25,89.7,0,0,0,1,35.930782,-121.189757
242,828.48,1416.18,0,1,0,0,1,587.7,0,1,32,19.8,0,0,0,0,35.930782,-121.189757
243,1803.75,8435.6,1,1,1,0,0,6631.85,1,0,65,105.1,0,0,0,0,35.930782,-121.189757
244,438.39,1356.99,0,0,1,1,0,918.6,1,0,9,100.5,0,0,0,1,37.7795,-122.419233
245,61.11,202.81,0,1,1,1,0,141.7,0,0,3,45.45,0,0,0,0,37.7795,-122.419233
