,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,CLTV,Age,Number of Dependents,Churn Label,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Gender,Married,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check
45,0,7,26.95,18,76.45,503.6,11.05,0,188.65,681.2,4419,77,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
46,3,24,49.76,11,104.25,2433.9,0.0,0,1194.24,3628.1400000000003,2104,70,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
47,0,61,7.82,11,111.6,6876.05,0.0,0,477.02000000000004,7353.070000000001,4495,44,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
48,0,8,11.58,7,74.85,572.45,0.0,0,92.64,665.09,5514,64,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
49,0,4,16.25,51,50.7,214.55,39.92,0,65.0,239.63,4288,24,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
50,0,11,11.59,29,95.0,1120.3,0.0,120,127.49,1367.79,5980,78,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
51,0,5,36.36,12,89.8,502.6,0.0,0,181.8,684.4000000000001,2960,75,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
52,1,1,16.66,0,21.0,21.0,0.0,0,16.66,37.66,3753,30,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
53,0,22,39.58,12,89.4,2001.5,0.0,0,870.76,2872.26,5438,39,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
54,0,1,5.1,10,79.55,79.55,0.0,0,5.1,84.64999999999999,5571,56,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
55,6,29,0.0,57,55.35,1636.95,0.0,0,0.0,1636.95,5138,62,3,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
56,0,15,29.11,29,74.4,1074.3,0.0,0,436.65,1510.9499999999998,4616,65,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
57,0,1,21.72,52,79.6,79.6,0.0,0,21.72,101.32,3108,20,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
58,0,17,34.98,21,90.95,1612.2,0.0,0,594.66,2206.86,5687,49,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
59,0,3,25.04,17,70.7,225.65,0.0,0,75.12,300.77,2584,44,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
60,0,42,39.32,20,67.7,2882.25,0.0,0,1651.44,4533.6900000000005,5034,55,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
61,1,1,0.0,12,40.2,40.2,0.0,0,0.0,40.2,5828,77,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
62,0,56,25.41,51,94.45,5124.6,0.0,0,1422.96,6547.56,4830,21,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
63,0,37,24.04,59,101.9,3545.35,0.0,0,889.48,4434.83,4437,22,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
64,10,6,1.57,0,19.45,113.5,0.0,0,9.42,122.92,3461,53,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
65,4,14,42.64,69,59.45,780.85,0.0,0,596.96,1377.81,5723,29,2,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
66,0,3,0.0,28,41.15,132.2,0.0,0,0.0,132.2,2314,67,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
67,1,48,0.0,22,34.7,1604.5,0.0,0,0.0,1604.5,5995,31,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
68,0,13,5.43,26,91.1,1135.7,0.0,80,70.59,1286.29,5347,54,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
69,1,44,27.4,0,20.5,865.05,0.0,0,1205.6,2070.6499999999996,3093,64,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
70,0,63,9.21,28,90.45,5825.5,0.0,100,580.23,6505.73,4616,33,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
71,0,13,32.68,11,106.9,1364.3,0.0,10,424.84,1799.1399999999999,2494,68,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
72,0,1,43.03,3,50.75,50.75,0.0,0,43.03,93.78,5355,61,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
73,1,45,42.04,26,54.15,2319.8,0.0,0,1891.8,4211.6,2761,60,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
74,0,65,27.68,6,95.5,6153.85,0.0,80,1799.2,8033.05,6153,59,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
75,0,10,17.01,0,24.5,270.15,0.0,0,170.10000000000002,440.25,5594,51,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
76,0,16,9.43,9,94.45,1511.2,0.0,0,150.88,1662.08,3810,68,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
77,0,6,47.92,25,89.5,573.3,0.0,0,287.52,860.8199999999999,2898,58,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
78,1,25,25.87,76,60.35,1404.65,0.0,10,646.75,2061.4,3192,55,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
79,0,1,29.86,0,20.35,20.35,0.0,0,29.86,50.21,2183,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
80,8,12,33.9,0,21.15,306.05,0.0,0,406.79999999999995,712.8499999999999,5209,50,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
81,0,8,1.78,7,74.5,606.55,0.0,0,14.24,620.79,4345,66,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
82,0,1,36.99,22,45.65,45.65,0.0,0,36.99,82.64,4689,43,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
83,0,1,34.48,9,43.95,43.95,0.0,0,34.48,78.43,3238,55,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
84,0,63,18.05,11,71.5,4576.3,0.0,70,1137.15,5783.450000000001,5342,46,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
85,0,45,13.82,8,89.3,4192.15,0.0,0,621.9,4814.049999999999,5470,42,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
86,0,24,30.87,15,76.1,1712.7,0.0,0,740.88,2453.58,2018,69,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
87,0,4,31.61,2,95.45,396.1,0.0,0,126.44,522.54,3677,74,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
88,2,32,47.34,10,74.9,2303.35,0.0,0,1514.88,3818.23,4105,76,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
89,1,24,16.1,12,93.15,2231.05,0.0,0,386.40000000000003,2617.4500000000003,2212,77,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
90,0,54,12.08,5,82.45,4350.1,0.0,0,652.32,5002.42,4149,70,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
91,0,2,13.17,10,70.35,139.05,0.0,0,26.34,165.39000000000001,2671,74,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
92,0,21,0.0,8,41.9,840.1,0.0,0,0.0,840.1,4778,77,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
93,0,27,0.0,13,30.75,805.1,0.0,140,0.0,945.1,2927,71,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
94,1,11,29.54,0,19.95,214.75,0.0,0,324.94,539.69,5888,79,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
95,2,55,42.82,27,85.45,4874.7,0.0,90,2355.1,7319.799999999999,5502,66,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
96,0,3,9.22,14,81.35,233.7,0.0,0,27.660000000000004,261.36,2818,77,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
97,1,5,47.28,11,81.0,371.65,40.64,10,236.4,577.41,4287,68,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
98,0,10,49.58,17,44.85,435.4,0.0,0,495.79999999999995,931.1999999999999,4061,34,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
99,0,1,6.19,52,73.6,73.6,0.0,0,6.19,79.78999999999999,2565,21,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
100,0,5,5.78,52,80.6,415.55,36.44,40,28.900000000000002,448.01,5715,30,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
101,1,38,42.14,19,80.3,3058.65,0.0,0,1601.32,4659.97,2071,55,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
102,0,7,28.62,26,73.85,511.25,13.03,0,200.34,698.5600000000001,2473,29,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
103,0,2,5.32,20,80.6,155.8,0.0,0,10.64,166.44,2683,54,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
104,1,68,29.18,18,75.8,5293.95,0.0,90,1984.24,7368.19,4903,63,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
105,0,43,12.88,59,104.6,4759.85,0.0,0,553.84,5313.6900000000005,5250,24,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
106,2,63,48.95,13,103.4,6603.0,0.0,0,3083.8500000000004,9686.85,4352,61,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
107,0,2,10.53,8,90.4,168.2,0.0,0,21.06,189.26,4157,47,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
108,5,4,28.77,19,84.8,371.9,0.0,0,115.08,486.97999999999996,4939,26,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
109,0,10,27.1,11,80.25,846.0,0.0,0,271.0,1117.0,3598,40,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
110,0,5,20.86,8,96.5,492.55,0.0,0,104.3,596.85,5383,54,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
111,0,2,40.43,27,85.65,181.5,0.0,0,80.86,262.36,3878,22,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
112,1,25,8.91,10,104.95,2566.5,0.0,0,222.75,2789.25,3642,48,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
113,0,1,14.78,59,50.65,50.65,0.0,0,14.78,65.42999999999999,2431,26,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
114,0,1,8.56,24,90.85,90.85,0.0,0,8.56,99.41,3424,64,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
115,0,34,1.55,14,73.95,2524.45,0.0,0,52.7,2577.1499999999996,5795,63,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
116,2,69,48.8,26,99.45,7007.6,0.0,0,3367.2,10374.8,4020,30,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
117,0,1,36.63,0,19.9,19.9,0.0,0,36.63,56.53,3351,59,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
118,0,1,14.17,0,19.6,19.6,0.0,0,14.17,33.77,3448,52,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
119,0,1,8.56,0,20.5,20.5,0.0,0,8.56,29.060000000000002,4454,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
120,1,30,12.85,0,19.7,599.25,49.79,0,385.5,934.96,5045,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
121,0,1,0.0,17,24.2,24.2,0.0,0,0.0,24.2,4276,64,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
122,0,1,35.09,17,75.3,75.3,0.0,20,35.09,130.39,4902,80,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
123,1,67,11.4,27,94.1,6302.8,0.0,0,763.8000000000001,7066.6,4803,53,3,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
124,8,18,14.6,0,20.45,357.0,0.0,0,262.8,619.8,2047,39,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
